id,year,date,location,latitude,longitude,estnum,cx,cy
0,2016,01 April 2016,Jawa Barat,-6.927411,107.619869,1,50,34
1,2016,01 Juli 2016,NTT,-8.60619,120.979246,1,50,35
2,2016,01 Desember 2016,DKI Jakarta,-6.175328,106.827142,1,50,36
3,2016,23 Januari 2016,Karawang,-6.274288,107.396635,1,50,37
4,2016,26 Januari 2016,Karawang,-6.274288,107.396635,1,50,38
5,2016,02 November 2016,Malang,-7.982407,112.630672,1,50,39
6,2016,08 November 2016,DKI Jakarta,-6.175328,106.827142,1,50,40
7,2016,19 Februari 2016,Riau,0.513255,101.44262,1,50,41
8,2016,20 Februari 2016,Sumatera Selatan,-2.987661,104.750654,1,50,42
9,2016,22 Februari 2016,Palu,-0.898626,119.924574,1,50,43
10,2016,03 Februari 2016,Makassar,-5.147037,119.43008,1,50,44
11,2016,03 Juli 2016,DKI Jakarta,-6.175328,106.827142,1,50,45
12,2016,03 Juli 2016,DKI Jakarta,-6.175328,106.827142,1,50,46
13,2016,16 Maret 2016,Lampung,-4.687979,105.006493,1,50,47
14,2016,20 Maret 2016,NTT,-8.60619,120.979246,1,50,48
15,2016,28 Maret 2016,Jawa tengah,-6.988945,110.431481,1,50,49
16,2016,30 Maret 2016,NTT,-8.60619,120.979246,1,50,50
17,2016,24 Maret 2016,Sumatera Selatan,-2.987661,104.750654,1,50,51
18,2016,04 Oktober 2016,Sulawesi Utara,1.137102,124.746667,1,50,52
19,2016,23 April 2016,Jawa Barat,-6.937411,107.629869,1,50,53
20,2016,24 April 2016,Jawa Barat,-6.827411,107.639869,1,50,54
21,2016,25 April 2016,Papua,-3.917005,138.581769,1,50,55
22,2016,27 April 2016,DKI Jakarta,-6.175328,106.827142,1,50,56
23,2016,29 April 2016,Jawa Barat,-6.926411,108.619869,1,50,57
24,2016,04 Mei 2016,DI Yogyakarta,-7.801548,110.371239,1,50,58
25,2016,14 Mei 2016,Sulawesi Utara,1.137102,124.746667,1,50,59
26,2016,16 Mei 2016,Bali,-8.355165,115.183934,1,50,60
27,2016,03 Mei 2016,Papua Barat,-3.917005,138.581769,1,50,61
28,2016,19 Mei 2016,Jawa Tengah,-6.988945,110.431481,1,50,62
29,2016,17 Mei 2016,Jawa Timur,-7.652426,112.285126,1,50,63
30,2016,14 Mei 2016,Jawa Timur,-7.652426,112.285126,1,50,64
31,2016,12 Mei 2016,Sulawesi Selatan,-3.848419,119.962695,1,50,65
32,2016,12 Mei 2016,Sumatera Utara,2.499579,2.499579,1,50,66
33,2016,03 Juni 2016,DKI Jakarta,-6.175328,106.827142,1,50,67
34,2016,01 Juni 2016,Sulawesi Tengah,-1.571247,120.503325,1,50,68
35,2016,09 Juni 2016,Papua,-3.917005,138.581769,1,50,69
36,2016,16 Juni 2016,DKI Jakarta,-6.175328,106.827142,1,50,70
37,2016,18 Juni 2016,Jawa Tengah,-6.988945,110.431481,1,50,71
38,2016,15 Juli 2016,Sumatera Barat,-0.544589,100.845138,1,50,72
39,2016,16 Juli 2016,Jawa Barat,-7.927411,105.619869,1,50,73
40,2016,29 Juli 2016,Jawa Barat,-6.127411,107.219869,1,50,74
41,2016,17 Juli 2016,Jawa Barat,-6.977411,109.619869,1,200,34
42,2016,20 Juli 2016,Jawa Timur,-7.652426,112.285126,1,200,35
43,2016,30 Juni 2016,Jawa Barat,-4.927411,107.659869,1,200,36
44,2016,30 Juni 2016,Sumatera Barat,-0.544589,100.845138,1,200,37
45,2016,15 Agustus 2016,Sumatera Utara,2.499579,2.499579,1,200,38
46,2016,15 Agustus 2016,Sumatera Utara,2.499579,2.499579,1,200,39
47,2016,22 Agustus 2016,Jawa Barat,-6.107411,103.619869,1,200,40
48,2016,09 Agustus 2016,Kalimantan Selatan,-2.720365,115.380975,1,200,41
49,2016,30 Agustus 2016,Banten,-6.418479,106.140294,1,200,42
50,2016,01 September 2016,Sulawesi Selatan,-3.848419,119.962695,1,200,43
51,2016,02 September 2016,DKI Jakarta,-6.175328,106.827142,1,200,44
52,2016,20 September 2016,jJawa Timur,-7.652426,112.285126,1,200,45
53,2016,20 September 2016,Jawa Barat,-6.923411,107.615869,1,200,46
54,2016,29 September 2016,Jawa Barat,-6.927511,107.613869,1,200,47
55,2016,19 September 2016,Sumatera Utara,2.499579,2.499579,1,200,48
56,2016,20 September 2016,Aceh,4.486972,96.864624,1,200,49
57,2016,02 Oktober 2016,Jawa Timur,-7.652426,112.285126,1,200,50
58,2016,07 Oktober 2016,Sumatera Selatan,-2.987661,104.750654,1,200,51
59,2016,07 Oktober 2016,DKI Jakarta,-6.175328,106.827142,1,200,52
60,2016,21 Oktober 2016,Papua Barat,-3.917005,138.581769,1,200,53
